time,open,high,low,close,tick_volume,spread,real_volume
2024-06-27 08:00:00,1.06944,1.0699,1.06805,1.06881,13400,0,0
2024-06-27 12:00:00,1.06881,1.07223,1.06874,1.07196,15638,0,0
2024-06-27 16:00:00,1.07196,1.07266,1.07004,1.07068,17047,0,0
2024-06-27 20:00:00,1.07067,1.07085,1.07014,1.07037,8374,0,0
2024-06-28 00:00:00,1.07034,1.0711,1.06976,1.06978,4392,0,0
2024-06-28 04:00:00,1.06978,1.06991,1.06855,1.06868,9874,0,0
2024-06-28 08:00:00,1.06868,1.07041,1.06863,1.06978,12581,0,0
2024-06-28 12:00:00,1.06979,1.07195,1.06922,1.07049,15630,0,0
2024-06-28 16:00:00,1.07048,1.07223,1.06927,1.07161,23382,0,0
2024-06-28 20:00:00,1.07161,1.07249,1.07062,1.07139,10151,0,0
2024-07-01 00:00:00,1.07441,1.07498,1.07321,1.07458,6914,0,0
2024-07-01 04:00:00,1.07458,1.07616,1.07429,1.07548,10336,0,0
2024-07-01 08:00:00,1.07548,1.07765,1.07496,1.07684,14745,0,0
2024-07-01 12:00:00,1.07684,1.07688,1.07401,1.07483,12477,0,0
2024-07-01 16:00:00,1.07483,1.07698,1.07198,1.0731600000000001,18263,0,0
2024-07-01 20:00:00,1.0731600000000001,1.07426,1.07244,1.074,8015,0,0
2024-07-02 00:00:00,1.07402,1.07413,1.07298,1.07348,5230,0,0
2024-07-02 04:00:00,1.07348,1.07365,1.07284,1.07296,6751,0,0
2024-07-02 08:00:00,1.07296,1.07359,1.07122,1.07209,12711,0,0
2024-07-02 12:00:00,1.07209,1.07337,1.071,1.07319,13334,0,0
2024-07-02 16:00:00,1.07319,1.07469,1.07243,1.07322,19136,0,0
2024-07-02 20:00:00,1.07321,1.07472,1.07317,1.07453,7152,0,0
2024-07-03 00:00:00,1.07437,1.07545,1.07368,1.07481,4835,0,0
2024-07-03 04:00:00,1.07481,1.07481,1.07405,1.07425,4386,0,0
2024-07-03 08:00:00,1.07425,1.07637,1.07364,1.07583,11913,0,0
2024-07-03 12:00:00,1.07583,1.07785,1.07526,1.07748,14045,0,0
2024-07-03 16:00:00,1.07747,1.08169,1.0772,1.07958,19627,0,0
2024-07-03 20:00:00,1.07959,1.0796000000000001,1.07782,1.07868,5888,0,0
2024-07-04 00:00:00,1.07834,1.07938,1.0777700000000001,1.07926,4067,0,0
2024-07-04 04:00:00,1.07926,1.07951,1.07837,1.07866,5818,0,0
2024-07-04 08:00:00,1.07866,1.08032,1.0785,1.0802,12412,0,0
2024-07-04 12:00:00,1.0802,1.08032,1.07941,1.07972,10171,0,0
2024-07-04 16:00:00,1.07972,1.08139,1.07949,1.08123,7120,0,0
2024-07-04 20:00:00,1.08123,1.08137,1.08108,1.08113,1928,0,0
2024-07-05 00:00:00,1.08106,1.08181,1.08089,1.08149,4008,0,0
