date,open,high,low,close,tick_volume,spread,real_volume
2021-05-14,1.4047,1.41108,1.40358,1.40916,53489,0,0
2021-05-17,1.40986,1.4147,1.40775,1.41388,48633,0,0
2021-05-18,1.41248,1.422,1.41248,1.41885,49798,0,0
2021-05-19,1.41874,1.42009,1.40995,1.41117,68267,0,0
2021-05-20,1.41103,1.41928,1.41013,1.41904,54558,0,0
2021-05-21,1.41896,1.42338,1.41407,1.41495,56109,0,0
2021-05-24,1.41526,1.41718,1.4111,1.41533,54211,0,0
2021-05-25,1.41526,1.42106,1.41154,1.41489,58287,0,0
2021-05-26,1.41477,1.41759,1.41121,1.41167,54773,0,0
2021-05-27,1.41189,1.42188,1.40914,1.41992,61771,0,0
2021-05-28,1.42038,1.4208,1.41359,1.4188,65071,0,0
2021-05-31,1.41806,1.42178,1.4164,1.42062,39281,0,0
2021-06-01,1.42077,1.42486,1.41464,1.41482,62812,0,0
2021-06-02,1.41452,1.41835,1.41118,1.41697,56051,0,0
2021-06-03,1.41649,1.42033,1.40864,1.40999,60118,0,0
2021-06-04,1.41016,1.42006,1.40834,1.41567,58471,0,0
2021-06-07,1.41541,1.41909,1.41114,1.41763,52437,0,0
2021-06-08,1.41798,1.41845,1.41212,1.41528,51991,0,0
2021-06-09,1.41536,1.41892,1.41102,1.41135,42758,0,0
2021-06-10,1.41154,1.41784,1.40734,1.41763,47067,0,0
2021-06-11,1.41758,1.41856,1.40959,1.41074,54297,0,0
2021-06-14,1.41014,1.41209,1.40701,1.4106,43161,0,0
2021-06-15,1.41078,1.41287,1.40341,1.40835,35125,0,0
2021-06-16,1.40758,1.41326,1.39824,1.39838,55407,0,0
2021-06-17,1.39843,1.40086,1.38956,1.3926,72923,0,0
2021-06-18,1.39166,1.39441,1.37915,1.37932,77442,0,0
2021-06-21,1.3798,1.39371,1.37865,1.39339,72368,0,0
2021-06-22,1.39316,1.39638,1.38606,1.39484,64666,0,0
2021-06-23,1.39438,1.40015,1.39242,1.39608,59987,0,0
2021-06-24,1.39592,1.39867,1.38897,1.39211,61448,0,0
